name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia,Powiat
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowej linii produktowej przez FOOD HEROES AGATA WAŚNIEWSKA z regionu 1: pomorskie,POMORSKIE Gdynia Eugeniusza Kwiatkowskiego 60 81-127,Nazwa: FOOD HEROES AGATA WAŚNIEWSKA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Eugeniusza Kwiatkowskiego<br>Grantobiorca Nr budynku: 60<br>Grantobiorca Kod pocztowy: 81-127<br>Wartość wsparcia: 420730.2,81-127,Gdynia,60,Eugeniusza Kwiatkowskiego,POMORSKIE,FOOD HEROES AGATA WAŚNIEWSKA,420730.2,Gdynia
"Zwiększenie skali prowadzonej działalności, poprawa jej efektywności i zwiększenie odporności przedsiębiorstwa Gdańskie Lody Naturalne przez wprowadzenie nowych produktów na lokalnym rynku woj. pomorskiego.",POMORSKIE Gniewkowo dr. Jana Dreckiego 17 88-140,"Nazwa: ZBIGNIEW NOWACKI GDAŃSKIE LODY NATURALNE, GDAŃSKIE FRYKASY, GDAŃSKIE LODY NATURALNE BIS<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gniewkowo<br>Grantobiorca Ulica: dr. Jana Dreckiego<br>Grantobiorca Nr budynku: 17<br>Grantobiorca Kod pocztowy: 88-140<br>Wartość wsparcia: 321239.9",88-140,Gniewkowo,17,dr. Jana Dreckiego,POMORSKIE,"ZBIGNIEW NOWACKI GDAŃSKIE LODY NATURALNE, GDAŃSKIE FRYKASY, GDAŃSKIE LODY NATURALNE BIS",321239.9,Powiat inowroclawski
Dywersyfikacja działalności poprzez rozszerzenie działalności w kierunku uruchomienia wynajmu mobilnych eko domków w firmie INP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ z Regionu 1 w celu zwiększenia odporności i konkurencyjności firmy.,POMORSKIE Gdańsk Budowlanych 42 80-298,Nazwa: INP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Budowlanych<br>Grantobiorca Nr budynku: 42<br>Grantobiorca Kod pocztowy: 80-298<br>Wartość wsparcia: 419940,80-298,Gdańsk,42,Budowlanych,POMORSKIE,INP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,419940.0,Gdansk
Odbudowa i rozwój potencjału firmy BAIS Piotr Gładkowski z województwa pomorskiego zwiększająca jej odporność na kryzysy,POMORSKIE Warzenko Żurawia 16 84-208,Nazwa: PIOTR GŁADKOWSKI BAIS<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Warzenko<br>Grantobiorca Ulica: Żurawia<br>Grantobiorca Nr budynku: 16<br>Grantobiorca Kod pocztowy: 84-208<br>Wartość wsparcia: 411129.6,84-208,Warzenko,16,Żurawia,POMORSKIE,PIOTR GŁADKOWSKI BAIS,411129.6,Powiat wejherowski
Dywersyfikacja działalności poprzez rozszerzenie działalności w kierunku uruchomienia wynajmu krótkotrwałego mobilnych eko domków dla klientów firmy FUNDACJA ROZWOJU INNOWACJI I GOSPODARKI z Regionu 1 w celu zwiększenia odporności i konkurencyjności firmy,POMORSKIE Gdynia Olimpijska 2 81-538,Nazwa: FUNDACJA ROZWOJU INNOWACJI I GOSPODARKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Olimpijska<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 81-538<br>Wartość wsparcia: 419940,81-538,Gdynia,2,Olimpijska,POMORSKIE,FUNDACJA ROZWOJU INNOWACJI I GOSPODARKI,419940.0,Gdynia
"„Rozszerzenie i uatrakcyjnienie świadczonych usług gastronomicznych poprzez otwarcie nowe sali restauracyjnej w altanie ogrodowej z obsługą robota kelnerskiego i placem zabaw dla dzieci w ramach inwestycji A1.2.1. KPO z regionu nr 1 obejmującego województwa kujawsko-pomorskie, pomorskie i zachodniopomorskie",POMORSKIE Starogard Gdański Rynek 32 83-200,Nazwa: FIRMA GASTRONOMICZNA BOŻENA WALCZAK<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Starogard Gdański<br>Grantobiorca Ulica: Rynek<br>Grantobiorca Nr budynku: 32<br>Grantobiorca Kod pocztowy: 83-200<br>Wartość wsparcia: 459973,83-200,Starogard Gdański,32,Rynek,POMORSKIE,FIRMA GASTRONOMICZNA BOŻENA WALCZAK,459973.0,Powiat starogardzki
"Poszerzenie oferty gastronomicznej w celu zwiększenia odporności i konkurencyjności na rynku, działanie w województwie pomorskim, w miejscowości Gdańsk",POMORSKIE Gdańsk Chmielna 26 80-748,Nazwa: TSUNAMI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Chmielna<br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 80-748<br>Wartość wsparcia: 438435.58,80-748,Gdańsk,26,Chmielna,POMORSKIE,TSUNAMI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,438435.58,Gdansk
Zwiększenie odporności przedsiębiorstwa ROYAL BAR PAWEŁ LENGA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE Gdynia Stanisława Filipkowskiego 25 81-578,Nazwa: ROYAL BAR PAWEŁ LENGA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Stanisława Filipkowskiego<br>Grantobiorca Nr budynku: 25<br>Grantobiorca Kod pocztowy: 81-578<br>Wartość wsparcia: 348240.98,81-578,Gdynia,25,Stanisława Filipkowskiego,POMORSKIE,ROYAL BAR PAWEŁ LENGA,348240.98,Gdynia
"„„BAR Z PRZEKĄSKAMI – SZYBKA, ZDROWA, EKOLOGICZNA ŻYWNOŚĆ”. STWORZENIE NOWEGO PUNKTU GASTRONOMICZNEGO PRZY UL. WOJSKA POLSKIEGO 62, 77-300 CZŁUCHÓW, REGION POMORSKI”",POMORSKIE Chojnice Droga do Igieł 1 89-600,Nazwa: TAWERNA RAFA STASZKÓW SPÓŁKA KOMANDYTOWA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Chojnice<br>Grantobiorca Ulica: Droga do Igieł<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 89-600<br>Wartość wsparcia: 517214.53,89-600,Chojnice,1,Droga do Igieł,POMORSKIE,TAWERNA RAFA STASZKÓW SPÓŁKA KOMANDYTOWA,517214.53,Powiat chojnicki
"Basen dla dzieci i rozbudowa kompleksu hotelowego w Jastrzębiej Górze o elementy ekologiczne, cyfryzację i dostępność dla osób niepełnosprawnych.",POMORSKIE Gdynia Czesława Niemena 2 81-603,Nazwa: DREJK KAŹMIERCZAK SPÓŁKA KOMANDYTOWA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Czesława Niemena<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 81-603<br>Wartość wsparcia: 479908.82,81-603,Gdynia,2,Czesława Niemena,POMORSKIE,DREJK KAŹMIERCZAK SPÓŁKA KOMANDYTOWA,479908.82,Gdynia
Sunday Sailing Camp sposobem na rozszerzenie działalności Sunday Sailing Sp. z o.o. o ofertę noclegową we Władysławowie (pomorskie) wraz z cyfryzacją i elementami zielonej transformacji,POMORSKIE Gdynia Grenadierów 18 81-585,Nazwa: Sunday Sailing Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Grenadierów<br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 81-585<br>Wartość wsparcia: 537384.6,81-585,Gdynia,18,Grenadierów,POMORSKIE,Sunday Sailing Spółka z ograniczoną odpowiedzialnością,537384.6,Gdynia
Rozszerzenie działalności ISTANBUL M. Dukowicz Sp. j. o ofertę noclegową wraz z cyfryzacją i elementami zielonej transformacji,POMORSKIE Gdańsk Franciszka Hynka 71b 80-463,Nazwa: ISTANBUL M.DUKOWICZ SPÓŁKA JAWNA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Franciszka Hynka<br>Grantobiorca Nr budynku: 71b<br>Grantobiorca Kod pocztowy: 80-463<br>Wartość wsparcia: 537112.8,80-463,Gdańsk,71b,Franciszka Hynka,POMORSKIE,ISTANBUL M.DUKOWICZ SPÓŁKA JAWNA,537112.8,Gdansk
"Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług przez ""TakeBio"" ARKADIUSZ WENTA z regionu 1: pomorskie w województwie pomorskim",POMORSKIE Lębork Mieczysława Stryjewskiego 19 84-300,"Nazwa: ""TakeBio"" ARKADIUSZ WENTA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Lębork<br>Grantobiorca Ulica: Mieczysława Stryjewskiego<br>Grantobiorca Nr budynku: 19<br>Grantobiorca Kod pocztowy: 84-300<br>Wartość wsparcia: 539979.3",84-300,Lębork,19,Mieczysława Stryjewskiego,POMORSKIE,"""TakeBio"" ARKADIUSZ WENTA",539979.3,Powiat leborski
"Uruchomienie nowej usługi organizacji turnusów prozdrowotnych dla osób w wieku senioralnym, w tym dla osób z określonymi rodzajami niepełnosprawności jak i z dysfunkcjami ruchowymi w celu dywersyfikacji przychodu.",POMORSKIE Sztumskie Pole 19 82-400,Nazwa: JAKUB GOSSA STAJNIA ISKRA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sztumskie Pole<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 19<br>Grantobiorca Kod pocztowy: 82-400<br>Wartość wsparcia: 507762.84,82-400,Sztumskie Pole,19,,POMORSKIE,JAKUB GOSSA STAJNIA ISKRA,507762.84,Powiat kwidzynski
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług w przedsiębiorstwie LUCYNA PEPLIŃSKA z regionu 1: pomorskie,POMORSKIE Gdańsk św. Ducha 40-42 80-834,Nazwa: LUCYNA PEPLIŃSKA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: św. Ducha<br>Grantobiorca Nr budynku: 40-42<br>Grantobiorca Kod pocztowy: 80-834<br>Wartość wsparcia: 279214.2,80-834,Gdańsk,40-42,św. Ducha,POMORSKIE,LUCYNA PEPLIŃSKA,279214.2,Gdansk
"wzmocnienie i uodpornienie na sytuacje kryzysowe Firmy RESTAURACJA ""ZIELONA PAPUGA"" ANNA JAREMA-ŻYŻUN dzięki dywersyfikacji działalności o wynajem domu nad jeziorem Mausz - Region 1",POMORSKIE Gdańsk Jana Uphagena 25 80-237,"Nazwa: RESTAURACJA ""ZIELONA PAPUGA"" ANNA JAREMA-ŻYŻUN<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Jana Uphagena<br>Grantobiorca Nr budynku: 25<br>Grantobiorca Kod pocztowy: 80-237<br>Wartość wsparcia: 517126.5",80-237,Gdańsk,25,Jana Uphagena,POMORSKIE,"RESTAURACJA ""ZIELONA PAPUGA"" ANNA JAREMA-ŻYŻUN",517126.5,Gdansk
"Rozszerzenie gamy usług świadczonych przez obiekt RESTAURACJA ""KARCZMA POD KLUKĄ"" I ""HOTEL POD KLUKĄ"" o usługę kompleksowej organizacji i obsługi kameralnych spotkań biznesowych. Projekt realizowany na terenie województwa pomorskiego",POMORSKIE Słupsk Kaszubska 22 76-200,"Nazwa: ZAKŁAD PRODUKCYJNO-USŁUGOWO-HANDLOWY RESTAURACJA ""KARCZMA POD KLUKĄ"" I ""HOTEL POD KLUKĄ""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Słupsk<br>Grantobiorca Ulica: Kaszubska<br>Grantobiorca Nr budynku: 22<br>Grantobiorca Kod pocztowy: 76-200<br>Wartość wsparcia: 274592.14",76-200,Słupsk,22,Kaszubska,POMORSKIE,"ZAKŁAD PRODUKCYJNO-USŁUGOWO-HANDLOWY RESTAURACJA ""KARCZMA POD KLUKĄ"" I ""HOTEL POD KLUKĄ""",274592.14,Powiat koszalinski
Zwiększenie odporności przedsiębiorstwa ESENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE Sopot Aleja Niepodległości 799 A 81-810,Nazwa: ESENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sopot<br>Grantobiorca Ulica: Aleja Niepodległości<br>Grantobiorca Nr budynku: 799 A<br>Grantobiorca Kod pocztowy: 81-810<br>Wartość wsparcia: 502899.95,81-810,Sopot,799 A,Aleja Niepodległości,POMORSKIE,ESENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,502899.95,Sopot
Dywersyfikacja działalności poprzez Innowacyjną Siłownię Kontenerową - Bezpieczne Treningi w Czasach Zagrożenia Epidemiologicznego (Pomorskie),POMORSKIE Gdynia Korzenna 14a 81-587,Nazwa: PG PAWEŁ GZULA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Korzenna<br>Grantobiorca Nr budynku: 14a<br>Grantobiorca Kod pocztowy: 81-587<br>Wartość wsparcia: 316183.73,81-587,Gdynia,14a,Korzenna,POMORSKIE,PG PAWEŁ GZULA,316183.73,Gdynia
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług przez Bartłomiej Sadowski Family&Business Catering z regionu 1: pomorskie,POMORSKIE Gdańsk Jaśkowa Dolina 29 80-286,Nazwa: Bartłomiej Sadowski Family&Business Catering<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Jaśkowa Dolina<br>Grantobiorca Nr budynku: 29<br>Grantobiorca Kod pocztowy: 80-286<br>Wartość wsparcia: 176841,80-286,Gdańsk,29,Jaśkowa Dolina,POMORSKIE,Bartłomiej Sadowski Family&Business Catering,176841.0,Gdansk
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowej usługi przez PRZEMYSŁAW CIERNIOCH MANAGEMENT z regionu 1: pomorskie,POMORSKIE Sopot Tadeusza Kościuszki 33c 81-704,Nazwa: PRZEMYSŁAW CIERNIOCH MANAGEMENT<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sopot<br>Grantobiorca Ulica: Tadeusza Kościuszki<br>Grantobiorca Nr budynku: 33c<br>Grantobiorca Kod pocztowy: 81-704<br>Wartość wsparcia: 526014,81-704,Sopot,33c,Tadeusza Kościuszki,POMORSKIE,PRZEMYSŁAW CIERNIOCH MANAGEMENT,526014.0,Sopot
Rozwój i dywersyfikacja oferty RIWIERA CATERING,POMORSKIE Słupsk Karola Szymanowskiego 8 76-200,"Nazwa: PRZEDSIĘBIORSTWO TRANSPORTOWO-HANDLOWO-USŁUGOWE ""RIWIERA CATERING"" GRZEGORZ RATAJ, KATARZYNA WYSZYŃSKA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Słupsk<br>Grantobiorca Ulica: Karola Szymanowskiego<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 76-200<br>Wartość wsparcia: 477871.95",76-200,Słupsk,8,Karola Szymanowskiego,POMORSKIE,"PRZEDSIĘBIORSTWO TRANSPORTOWO-HANDLOWO-USŁUGOWE ""RIWIERA CATERING"" GRZEGORZ RATAJ, KATARZYNA WYSZYŃSKA",477871.95,Powiat koszalinski
"Rozwój przedsiębiorstwa, dzięki adaptacji pomieszczeń oraz zakup środków trwałych",POMORSKIE Przywidz Gdańska 19b 83-047,Nazwa: AH Joanna Herbasz<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Przywidz<br>Grantobiorca Ulica: Gdańska<br>Grantobiorca Nr budynku: 19b<br>Grantobiorca Kod pocztowy: 83-047<br>Wartość wsparcia: 540000,83-047,Przywidz,19b,Gdańska,POMORSKIE,AH Joanna Herbasz,540000.0,Gdansk County
Zakup przyczep kampingowych na potrzeby dywersyfikacji firmy FIDES TOUR działającej na terenie województwa pomorskiego,POMORSKIE Szymbark Leśna 7 83-315,Nazwa: Fides Tour Sylwia Kucner-Wesserling<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Szymbark<br>Grantobiorca Ulica: Leśna<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 83-315<br>Wartość wsparcia: 437940,83-315,Szymbark,7,Leśna,POMORSKIE,Fides Tour Sylwia Kucner-Wesserling,437940.0,Powiat starogardzki
Wzmocnienie oferty regionu pomorskiego przez OŚRODEK KOLONIJNO - WYPOCZYNKOWY EDUKACJI EKOLOGICZNEJ w Krynicy Morskiej dzięki budowie infrastruktury rekreacyjno-sportowej - basenu i boiska wielofunkcyjnego.,POMORSKIE Elbląg Henryka Nitschmanna 26-26-28 82-300,"Nazwa: Adrian Bogusłowicz Agencja ""ALFA""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Elbląg<br>Grantobiorca Ulica: Henryka Nitschmanna<br>Grantobiorca Nr budynku: 26-26-28<br>Grantobiorca Kod pocztowy: 82-300<br>Wartość wsparcia: 539000",82-300,Elbląg,26-26-28,Henryka Nitschmanna,POMORSKIE,"Adrian Bogusłowicz Agencja ""ALFA""",539000.0,Powiat kwidzynski
"Rozbudowa bazy usługowej poprzez utworzenia miejsca aktywności rekreacyjnej i budowę basenu zewnętrznego, w Villi Leśne Ustronie, położonej w Lubiszewie Tczewskim (region woj. pomorskiego",POMORSKIE Lubiszewo Tczewskie Sosnowa 32 83-112,"Nazwa: Łukasz Wojnowski ""VILLA LEŚNE USTRONIE""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Lubiszewo Tczewskie<br>Grantobiorca Ulica: Sosnowa<br>Grantobiorca Nr budynku: 32<br>Grantobiorca Kod pocztowy: 83-112<br>Wartość wsparcia: 504950.4",83-112,Lubiszewo Tczewskie,32,Sosnowa,POMORSKIE,"Łukasz Wojnowski ""VILLA LEŚNE USTRONIE""",504950.4,Powiat tczewski
Ekologiczny i przyjazny ośrodek Smołdziński Las region Pomorze,POMORSKIE Łeba Hieronima Derdowskiego 21 84-360,"Nazwa: Biuro Turystyczne ""DAJA""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Łeba<br>Grantobiorca Ulica: Hieronima Derdowskiego<br>Grantobiorca Nr budynku: 21<br>Grantobiorca Kod pocztowy: 84-360<br>Wartość wsparcia: 538525.05",84-360,Łeba,21,Hieronima Derdowskiego,POMORSKIE,"Biuro Turystyczne ""DAJA""",538525.05,Powiat leborski
„Dywersyfikacja działalności jako zwiększenie konkurencyjności i odporności firmy Karol Jarzębiński wobec możliwości wystąpienia kryzysów w branży HoReCa w województwie pomorskim,,Nazwa: Karol Jarzębiński<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Chlebnicka<br>Grantobiorca Nr budynku: 43<br>Grantobiorca Kod pocztowy: 80-830<br>Wartość wsparcia: 436528.49,80-830,Gdańsk,43,Chlebnicka,POMORSKIE,Karol Jarzębiński,436528.49,Gdansk
"Rozszerzenie zakresu świadczonych usług turystycznych o usługi poprawy kondycji fizycznej, poprawa standardu obsługi turystów oraz montaż instalacji fotowoltaicznej w Willi ATENA w Łebie woj. pomorskie",,Nazwa: Anita Puławska ATENA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Łeba<br>Grantobiorca Ulica: Generała Bema<br>Grantobiorca Nr budynku: 9<br>Grantobiorca Kod pocztowy: 84-360<br>Wartość wsparcia: 369373.76,84-360,Łeba,9,Generała Bema,POMORSKIE,Anita Puławska ATENA,369373.76,Powiat leborski
Dywersyfikacja działalności Smart Stay Hostel o nową usługę wypożyczalni sprzętu rekreacyjnego w Gdyni oraz województwie pomorskim (Region 1 - województwo pomorskie),POMORSKIE Gdynia Poleska 25 81-321,Nazwa: City Project sp. z o.o.<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Poleska<br>Grantobiorca Nr budynku: 25<br>Grantobiorca Kod pocztowy: 81-321<br>Wartość wsparcia: 538110,81-321,Gdynia,25,Poleska,POMORSKIE,City Project sp. z o.o.,538110.0,Gdynia
Dywersyfikacja działalności Hotelu MORIS działającego w regionie 1 w województwie pomorskim poprzez wprowadzenie nowych usług wynajmu apartamentów i strefy SPA oraz wdrożenie rozwiązań zielonej transformacji sposobem na uodpornienie na przyszłe kryzysy i poszerzenie grona klientów,POMORSKIE Gdańsk Bursztynowa 10 80-342,"Nazwa: HOTEL ""MORIS” STANISŁAW RACZKOWSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Bursztynowa<br>Grantobiorca Nr budynku: 10<br>Grantobiorca Kod pocztowy: 80-342<br>Wartość wsparcia: 539820",80-342,Gdańsk,10,Bursztynowa,POMORSKIE,"HOTEL ""MORIS” STANISŁAW RACZKOWSKI",539820.0,Gdansk
"Dywersyfikacja i rozszerzenie działalności ANTONI BATURA: PENSIONE ANTONIO SPÓŁKA CYWILNA ANTONI BATURA, GENOWEFA BATURA,MARCIN BATURA Region Pomorze",POMORSKIE Słupsk Wileńska 7-8 76-200,"Nazwa: PENSIONE ANTONIO SPÓŁKA CYWILNA ANTONI BATURA, GENOWEFA BATURA, MARCIN BATURA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Słupsk<br>Grantobiorca Ulica: Wileńska<br>Grantobiorca Nr budynku: 7-8<br>Grantobiorca Kod pocztowy: 76-200<br>Wartość wsparcia: 530871.8",76-200,Słupsk,07-Aug,Wileńska,POMORSKIE,"PENSIONE ANTONIO SPÓŁKA CYWILNA ANTONI BATURA, GENOWEFA BATURA, MARCIN BATURA",530871.8,Powiat koszalinski
Rozszerzenie działalności Ośrodka Wypoczynkowego Słowiniec w regionie 1 pomorskim,,"Nazwa: Ośrodek Wypoczynkowy ""Słowiniec"" Krystyna Puszcz<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Łeba<br>Grantobiorca Ulica: Nadmorska<br>Grantobiorca Nr budynku: 19<br>Grantobiorca Kod pocztowy: 84-360<br>Wartość wsparcia: 503889.31",84-360,Łeba,19,Nadmorska,POMORSKIE,"Ośrodek Wypoczynkowy ""Słowiniec"" Krystyna Puszcz",503889.31,Powiat leborski
Dywersyfikacja i rozszerzenie działalności RESTAURACJA RITZ Barbara Ritz Region Pomorze,POMORSKIE Gdańsk Szafarnia 6 80-755,Nazwa: RESTAURACJA RITZ Barbara Ritz<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Szafarnia<br>Grantobiorca Nr budynku: 6<br>Grantobiorca Kod pocztowy: 80-755<br>Wartość wsparcia: 291170.81,80-755,Gdańsk,6,Szafarnia,POMORSKIE,RESTAURACJA RITZ Barbara Ritz,291170.81,Gdansk
Zwiększenie odporności przedsiębiorstwa DIAKOSZ MARCIN DIAK SPÓŁKA JAWNA na sytuacje kryzysowe w wyniku rozszerzenia oraz dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdańsk Chlebnicka 48 80-830,Nazwa: GVARA DIAK FRIDRYCH Spółka Jawna<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Chlebnicka<br>Grantobiorca Nr budynku: 48<br>Grantobiorca Kod pocztowy: 80-830<br>Wartość wsparcia: 337831.96,80-830,Gdańsk,48,Chlebnicka,POMORSKIE,GVARA DIAK FRIDRYCH Spółka Jawna,337831.96,Gdansk
Dywersyfikacja działalności agentów turystycznych poprzez wdrożenie usług cyfryzacji przestrzeni z wykorzystaniem technologii wirtualnej rzeczywistości,,Nazwa: TASHI TRAVEL ADAM BIERZYŃSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 41c<br>Grantobiorca Kod pocztowy: 80-391<br>Wartość wsparcia: 176542.2,80-391,Gdańsk,41c,,POMORSKIE,TASHI TRAVEL ADAM BIERZYŃSKI,176542.2,Gdansk
Dywersyfikacja działalności Gościńca Zacisze w Chmielnie w województwie pomorskim poprzez wprowadzenie nowych usług oraz zwiększenie kompetencji pracowników,POMORSKIE Chmielno Garncarska 36 83-333,"Nazwa: Magdalena Drewa Gościniec ZACISZE, Biuro Księgowo-Prawne Wnioski Unijne, Serwis HVAC<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Chmielno<br>Grantobiorca Ulica: Garncarska<br>Grantobiorca Nr budynku: 36<br>Grantobiorca Kod pocztowy: 83-333<br>Wartość wsparcia: 449940.01",83-333,Chmielno,36,Garncarska,POMORSKIE,"Magdalena Drewa Gościniec ZACISZE, Biuro Księgowo-Prawne Wnioski Unijne, Serwis HVAC",449940.01,Powiat kartuski
"Dywersyfikacja działalności VIVA Sylwia Topolewska prowadzonej w regionie 1 w województwie pomorskim poprzez wprowadzenie nowych usług, wdrożenie zielonej i cyfrowej transformacji oraz przeszkolenie pracowników sposobem na uodpornienie na przyszłe kryzysy i poszerzenie grona klientów",POMORSKIE Rumia Mickiewicza 19A 84-230,Nazwa: VIVA SYLWIA TOPOLEWSKA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Rumia<br>Grantobiorca Ulica: Mickiewicza<br>Grantobiorca Nr budynku: 19A<br>Grantobiorca Kod pocztowy: 84-230<br>Wartość wsparcia: 539846.1,84-230,Rumia,19A,Mickiewicza,POMORSKIE,VIVA SYLWIA TOPOLEWSKA,539846.1,Powiat wejherowski
