name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia
"Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Mała Akademia Sportu Sp. z o. o., poprzez rozpoczęcie świadczenia nowych usług - region woj. lubuskie",LUBUSKIE Sulechów B. Prusa 31A 66-100,Nazwa: Mała Akademia Sportu Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: LUBUSKIE<br>Grantobiorca Miejscowość: Sulechów<br>Grantobiorca Ulica: B. Prusa<br>Grantobiorca Nr budynku: 31A<br>Grantobiorca Kod pocztowy: 66-100<br>Wartość wsparcia: 238255.1,66-100,Sulechów,31A,B. Prusa,LUBUSKIE,Mała Akademia Sportu Spółka z ograniczoną odpowiedzialnością,238255.1
Fragola Camping: Mobilne Domki w Wielkopolsce,WIELKOPOLSKIE Tarnowo Podgórne 27 Grudnia 2 62-080,"Nazwa: FRAGOLA S.C. TOMASZ KRÓLIKOWSKI,ADRIANNA KRUK<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Tarnowo Podgórne<br>Grantobiorca Ulica: 27 Grudnia<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 62-080<br>Wartość wsparcia: 539523",62-080,Tarnowo Podgórne,2,27 Grudnia,WIELKOPOLSKIE,"FRAGOLA S.C. TOMASZ KRÓLIKOWSKI,ADRIANNA KRUK",539523
"Rozwój Hotelu ""Dworek 1885"" poprzez Dywersyfikację Usług w celu Zmniejszenia Ryzyka Rynkowego i zabezpieczenia na wypadek kryzysów gospodarczych i ekonomicznych.",WIELKOPOLSKIE Ostrzeszów Kaliska 7 63-500,Nazwa: DWOREK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Ostrzeszów<br>Grantobiorca Ulica: Kaliska<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 63-500<br>Wartość wsparcia: 317188.39,63-500,Ostrzeszów,7,Kaliska,WIELKOPOLSKIE,DWOREK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,317188.39
Podjęcie działań mających na celu uodpornienie przedsiębiorstwa na przyszłe kryzysy na rynku województwa Dolnośląskiego dzięki ekologicznym inicjatywom i wprowadzeniu nowych usług.,DOLNOŚLĄSKIE Lądek-Zdrój Tadeusza Kościuszki 78 57-540,Nazwa: HOTEL MIRJAN LĄDEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWO AKCYJNA<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Lądek-Zdrój<br>Grantobiorca Ulica: Tadeusza Kościuszki<br>Grantobiorca Nr budynku: 78<br>Grantobiorca Kod pocztowy: 57-540<br>Wartość wsparcia: 185623.93,57-540,Lądek-Zdrój,78,Tadeusza Kościuszki,DOLNOŚLĄSKIE,HOTEL MIRJAN LĄDEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWO AKCYJNA,185623.93
Wzrost konkurencyjności Spółki Esperanto S.C. na terenie województwa dolnośląskiego poprzez rozszerzenie dotychczasowej działalności o uruchomienie wypożyczalni rowerów elektrycznych,DOLNOŚLĄSKIE Świdnica Bogusza Stęczyńskiego 18 58-100,"Nazwa: ESPERANTO Hotel Aleksandra Kończuga-Dudycz, Paweł Kańczuga spółka cywilna<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Świdnica<br>Grantobiorca Ulica: Bogusza Stęczyńskiego<br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 58-100<br>Wartość wsparcia: 476742.06",58-100,Świdnica,18,Bogusza Stęczyńskiego,DOLNOŚLĄSKIE,"ESPERANTO Hotel Aleksandra Kończuga-Dudycz, Paweł Kańczuga spółka cywilna",476742.06
"Projekt Modernizacji i Usprawnienia Infrastruktury Produkcyjnej dla restauracji MIKOYA, w województwie Wielkopolskim. - Celem projektu jest remont istniejącej infrastruktury przedsiębiorstwa oferującego usługi gastronomiczne, jak i zakup nowych maszyn, które mają poprawić efektywność i wydajność pracy.",WIELKOPOLSKIE Poznań Bolesława Krysiewicza 6 61-825,Nazwa: MIKOYA GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ <br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Poznań<br>Grantobiorca Ulica: Bolesława Krysiewicza<br>Grantobiorca Nr budynku: 6<br>Grantobiorca Kod pocztowy: 61-825<br>Wartość wsparcia: 535812.72,61-825,Poznań,6,Bolesława Krysiewicza,WIELKOPOLSKIE,MIKOYA GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ,535812.72
"Dywersyfikacja działalności biura podróży HOLIDAY JULITA LEKI poprzez otwarcie nowego oddziału, poszerzenie oferty o wyjazdy krajowe oraz zagraniczne organizowane bez pośredników oraz stworzenie Nowoczesnej Sali Szkoleniowo-Konferencyjnej pod organizację spotkań podróżniczych na terenie prowadzonej działalności w Województwie Wielkopolskim w regionie 5.",WIELKOPOLSKIE Kalisz Górnośląska 58 62-800,Nazwa: HOLIDAY BIURO PODRÓŻY JULITA LEKI<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Kalisz<br>Grantobiorca Ulica: Górnośląska<br>Grantobiorca Nr budynku: 58<br>Grantobiorca Kod pocztowy: 62-800<br>Wartość wsparcia: 385488.05,62-800,Kalisz,58,Górnośląska,WIELKOPOLSKIE,HOLIDAY BIURO PODRÓŻY JULITA LEKI,385488.05
"Rozszerzenie usług gastronomicznych Dobra Pierogarnia Lucyna Orlak przez wprowadzenie imprez okolicznościowych, dowozu i posiłków na wynos w Regionie V, woj. dolnośląskie",DOLNOŚLĄSKIE Bolesławiec Piaskowa 11a 59-700,Nazwa: DOBRA PIEROGARNIA LUCYNA ORLAK<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Bolesławiec<br>Grantobiorca Ulica: Piaskowa<br>Grantobiorca Nr budynku: 11a<br>Grantobiorca Kod pocztowy: 59-700<br>Wartość wsparcia: 269012.7,59-700,Bolesławiec,11a,Piaskowa,DOLNOŚLĄSKIE,DOBRA PIEROGARNIA LUCYNA ORLAK,269012.7
"Wzmocnienie odporności na sytuacje kryzysowe oraz zabezpieczenie działalności firmy TABAKA TOMASZ TIM poprzez wprowadzenie nowej usługi, tj. wypożyczalni sprzętu rekreacyjno-sportowego (bezemisyjnych łodzi elektrycznych) w Regionie 5 obejmującym województwa: dolnośląskie, lubuskie, wielkopolskie.",DOLNOŚLĄSKIE Wrocław Rybnicka 18g 52-016,Nazwa: TABAKA TOMASZ TIM<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Wrocław<br>Grantobiorca Ulica: Rybnicka<br>Grantobiorca Nr budynku: 18g<br>Grantobiorca Kod pocztowy: 52-016<br>Wartość wsparcia: 540000,52-016,Wrocław,18g,Rybnicka,DOLNOŚLĄSKIE,TABAKA TOMASZ TIM,540000
ZWIĘKSZENIE ODPORNOŚCI PRZEDSIĘBIORSTWA BTL POZNAŃ SYSTEMY MEDIALNE POPRZEZ DYWERSYFIKACJĘ PROFILU DZIAŁALNOŚCI I WDROŻENIE NOWEJ USŁUGI,WIELKOPOLSKIE Poznań 41 60-002,"Nazwa: ""BTL POZNAŃ SYSTEMY MEDIALNE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Poznań<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 41<br>Grantobiorca Kod pocztowy: 60-002<br>Wartość wsparcia: 540000",60-002,Poznań,41,,WIELKOPOLSKIE,"""BTL POZNAŃ SYSTEMY MEDIALNE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",540000
"Zwiększenie konkurencyjności oraz odporności na sytuacje kryzysowe Firmy Best Food Aleksandra Dubis z siedzibą w Szczawno- Zdrój - region dolnośląski poprzez przedsięwzięcie inwestycyjne zmierzające do wprowadzenia nowego produktu tj. linii dań typu fast food oraz rozszerzenie oferty cateringu zewnętrznego, poprawę efektywności energetycznej, cyfryzację a także rozwój poprzez doradztwo i szkolenia dla personelu.",DOLNOŚLĄSKIE Szczawno-Zdrój Tadeusza Kościuszki 1 58-310,"Nazwa: ""BEST FOOD"" Aleksandra Dubis<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Szczawno-Zdrój<br>Grantobiorca Ulica: Tadeusza Kościuszki<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 58-310<br>Wartość wsparcia: 539926.77",58-310,Szczawno-Zdrój,1,Tadeusza Kościuszki,DOLNOŚLĄSKIE,"""BEST FOOD"" Aleksandra Dubis",539926.77
Rozbudowa oferty i renowacja lokalu 'Czarny Kot' (Region 5 - dolnośląskie),DOLNOŚLĄSKIE Wrocław Ruska 47 50-079,Nazwa: FIESTA MARIA SIWA <br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Wrocław<br>Grantobiorca Ulica: Ruska<br>Grantobiorca Nr budynku: 47<br>Grantobiorca Kod pocztowy: 50-079<br>Wartość wsparcia: 319189.66,50-079,Wrocław,47,Ruska,DOLNOŚLĄSKIE,FIESTA MARIA SIWA ,319189.66
"Wzmocnienie konkurencyjności oferty firmy R26 Marcin Kusterka poprzez rozszerzenie i dywersyfikację usług o możliwość wypożyczenia sprzętu innowacyjnego oraz nieznanego w regionie dolnośląskim, w Górach Sowich.",DOLNOŚLĄSKIE Rzeczka 26 58-320,Nazwa: R 26 Marcin Kusterka <br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Rzeczka<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 58-320<br>Wartość wsparcia: 524792.92,58-320,Rzeczka,26,,DOLNOŚLĄSKIE,R 26 Marcin Kusterka ,524792.92
Zwiększenie odporności przedsiębiorstwa SEPTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 5: województwo lubuskie),LUBUSKIE Słubice Mickiewicza 11 69-100,Nazwa: SEPTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: LUBUSKIE<br>Grantobiorca Miejscowość: Słubice<br>Grantobiorca Ulica: Mickiewicza<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 69-100<br>Wartość wsparcia: 239396.57,69-100,Słubice,11,Mickiewicza,LUBUSKIE,SEPTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,239396.57
"Rozwój turystyki Dolnego Śląska poprzez wsparcie przedsiębiorstwa ""KRAKEN"" Adam Rybakiewicz",DOLNOŚLĄSKIE Legnica Podchorążych 3 59-220,"Nazwa: ""KRAKEN"" Adam Rybakiewicz<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Legnica<br>Grantobiorca Ulica: Podchorążych<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 59-220<br>Wartość wsparcia: 238694.11",59-220,Legnica,3,Podchorążych,DOLNOŚLĄSKIE,"""KRAKEN"" Adam Rybakiewicz",238694.11
Rozszerzenia oferty Nova Trattoria działającej w regionie 5 (Wielkopolska) o segment klienta biznesowego i salę konferencyjno-szkoleniową w celu zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe.,WIELKOPOLSKIE Dobieżyn Powstańców Wlkp. 20 64-320,"Nazwa: MIKOŁAJ NOWAK ""BARCA"" Mikołaj Nowak<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Dobieżyn<br>Grantobiorca Ulica: Powstańców Wlkp.<br>Grantobiorca Nr budynku: 20<br>Grantobiorca Kod pocztowy: 64-320<br>Wartość wsparcia: 479899.85",64-320,Dobieżyn,20,Powstańców Wlkp.,WIELKOPOLSKIE,"MIKOŁAJ NOWAK ""BARCA"" Mikołaj Nowak",479899.85
"Zajazd Leśna Chata - Dywersyfikacja działalności poprzez stworzenie nowoczesnej Sali Konferencyjnej do Organizacji Konferencji, Targów i Spotkań Firmowych - projekt realizowany w Regionie 5",WIELKOPOLSKIE Zbiersk-Cukrownia 211A 62-830,"Nazwa: ZAJZD ,,LEŚNA CHATA’’ DRYTKIEWICZ S.C GRZEGORZ DRYTKIEWICZ, ANNA DRYTKIEWICZ, EUGENIA DRYTKIEWICZ<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Zbiersk-Cukrownia<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 211A<br>Grantobiorca Kod pocztowy: 62-830<br>Wartość wsparcia: 356201.08",62-830,Zbiersk-Cukrownia,211A,,WIELKOPOLSKIE,"ZAJZD ,,LEŚNA CHATA’’ DRYTKIEWICZ S.C GRZEGORZ DRYTKIEWICZ, ANNA DRYTKIEWICZ, EUGENIA DRYTKIEWICZ",356201.08
Rozwój przedsiębiorstwa NOCLEGI U MAŁGOSI Małgorzata Ogielska poprzez przedsięwzięcie inwestycyjne we własną bazę usługową.,DOLNOŚLĄSKIE Złoty Stok Stanisława Staszica 16 57-250,Nazwa: NOCLEGI U MAŁGOSI Małgorzata Ogielska<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Złoty Stok<br>Grantobiorca Ulica: Stanisława Staszica<br>Grantobiorca Nr budynku: 16<br>Grantobiorca Kod pocztowy: 57-250<br>Wartość wsparcia: 458757.32,57-250,Złoty Stok,16,Stanisława Staszica,DOLNOŚLĄSKIE,NOCLEGI U MAŁGOSI Małgorzata Ogielska,458757.32
"Rozwój i dywersyfikacja oferty lodziarsko-czekoladziarskiej poprzez wprowadzenie nowych produktów, modernizację cyfrową i zwiększenie efektywności operacyjnej w Regionie 5: Dolnośląskie",DOLNOŚLĄSKIE Legnica Złotoryjska 63 59-220,Nazwa: Choice Spółka Z Ograniczoną Odpowiedzialnością<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Legnica<br>Grantobiorca Ulica: Złotoryjska<br>Grantobiorca Nr budynku: 63<br>Grantobiorca Kod pocztowy: 59-220<br>Wartość wsparcia: 346079.08,59-220,Legnica,63,Złotoryjska,DOLNOŚLĄSKIE,Choice Spółka Z Ograniczoną Odpowiedzialnością,346079.08
Sala gimnastyczna dla dzieci - zdrowa przyszłość z Dobry(ń) Trening w Środzie Śląskiej,DOLNOŚLĄSKIE Środa Śląska 1c 55-300,"Nazwa: STUDIO TRENINGU PERSONALNEGO ""DOBRY(Ń) TRENING"" Andrzej Dobryń<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Środa Śląska<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 1c<br>Grantobiorca Kod pocztowy: 55-300<br>Wartość wsparcia: 396496.97",55-300,Środa Śląska,1c,,DOLNOŚLĄSKIE,"STUDIO TRENINGU PERSONALNEGO ""DOBRY(Ń) TRENING"" Andrzej Dobryń",396496.97
"Zbudowanie odporności firmy Healthy Lifestyle - Krystian Praski poprzez uruchomienie zdalnych treningów personalnych, region dolnośląski.",DOLNOŚLĄSKIE Trzebnica Wrocławska 1C 55-100,Nazwa: Healthy Lifestyle - Krystian Praski <br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Trzebnica<br>Grantobiorca Ulica: Wrocławska<br>Grantobiorca Nr budynku: 1C<br>Grantobiorca Kod pocztowy: 55-100<br>Wartość wsparcia: 526353.96,55-100,Trzebnica,1C,Wrocławska,DOLNOŚLĄSKIE,Healthy Lifestyle - Krystian Praski ,526353.96
Rozszerzenie i dywersyfikacja działalności firmy ELŻBIETA FILIPIAK CKDS dzięki programowi wsparcia HoReCa dla MŚP z regionu wielkopolskiego.,WIELKOPOLSKIE Orla 50 63-720,Nazwa: ELŻBIETA FILIPIAK CKDS<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Orla<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 50<br>Grantobiorca Kod pocztowy: 63-720<br>Wartość wsparcia: 537892.96,63-720,Orla,50,,WIELKOPOLSKIE,ELŻBIETA FILIPIAK CKDS,537892.96
Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez dywersyfikację działalności i wprowadzenie nowej usługi w firmie JAN MARKOWSKI FIRMA ANNA w Województwie Dolnośląskim Region 5,DOLNOŚLĄSKIE Duszniki-Zdrój Zieleniec 17 57-340,Nazwa: JAN MARKOWSKI FIRMA ANNA <br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Duszniki-Zdrój<br>Grantobiorca Ulica: Zieleniec<br>Grantobiorca Nr budynku: 17<br>Grantobiorca Kod pocztowy: 57-340<br>Wartość wsparcia: 535673.05,57-340,Duszniki-Zdrój,17,Zieleniec,DOLNOŚLĄSKIE,JAN MARKOWSKI FIRMA ANNA ,535673.05
"Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez rozszerzenie oferowanych usług w firmie ""GASPAR"" JOANNA JEŻAK w woj. DOLNOŚLĄSKIM Region 5",DOLNOŚLĄSKIE Dzierżoniów Piastowska 28B 58-200,"Nazwa: ""GASPAR"" JOANNA JEŻAK<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Dzierżoniów<br>Grantobiorca Ulica: Piastowska<br>Grantobiorca Nr budynku: 28B<br>Grantobiorca Kod pocztowy: 58-200<br>Wartość wsparcia: 498591.84",58-200,Dzierżoniów,28B,Piastowska,DOLNOŚLĄSKIE,"""GASPAR"" JOANNA JEŻAK",498591.84
Zwiększenie konkurencyjności i odporności firmy Usługowej „VASIA” Wasyl Puka poprzez dywersyfikację oferty noclegowej i rekreacyjnej oraz inwestycje w ekologiczne technologie - Region 5,DOLNOŚLĄSKIE Szklarska Poręba 15A 58-580,"Nazwa: FIRMA USŁUGOWA ""VASIA"" WASYL PUKA<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Szklarska Poręba<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 15A<br>Grantobiorca Kod pocztowy: 58-580<br>Wartość wsparcia: 507518.99",58-580,Szklarska Poręba,15A,,DOLNOŚLĄSKIE,"FIRMA USŁUGOWA ""VASIA"" WASYL PUKA",507518.99
"Dywersyfikacja działalności HYDRO SPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ prowadzącego działalność w województwie wielkopolskim, poprzez wprowadzenie nowej i ulepszonej usługi, w celu zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe, realizowana w Regionie 5:dolnośląskie, lubuskie, wielkopolskie.",WIELKOPOLSKIE Poznań Piaskowa 3 61-753,Nazwa: HYDRO SPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Poznań<br>Grantobiorca Ulica: Piaskowa<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 61-753<br>Wartość wsparcia: 499247.36,61-753,Poznań,3,Piaskowa,WIELKOPOLSKIE,HYDRO SPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,499247.36
Wzrost odporności na kryzys wielkopolskiej FUNDACJI EDUKACJA PLUS (Region 5) poprzez rozbudowę bazy usługowej i rozszerzenie działalności o nową usługę skierowaną dla osób o szczególnych potrzebach dietetycznych,WIELKOPOLSKIE Poznań Winna 15B 61-658,Nazwa: FUNDACJA EDUKACJA PLUS<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Poznań<br>Grantobiorca Ulica: Winna<br>Grantobiorca Nr budynku: 15B<br>Grantobiorca Kod pocztowy: 61-658<br>Wartość wsparcia: 386475.95,61-658,Poznań,15B,Winna,WIELKOPOLSKIE,FUNDACJA EDUKACJA PLUS,386475.95
Rozwój kompleksowej obsługi eventów gastronomicznych przez Koszal Bary w woj.wielkopolskim.,WIELKOPOLSKIE Iwanowice 2 62-862,Nazwa: KOSZAL BARY SZYMON KOSZAL<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Iwanowice<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 62-862<br>Wartość wsparcia: 539978.32,62-862,Iwanowice,2,,WIELKOPOLSKIE,KOSZAL BARY SZYMON KOSZAL,539978.32
Uruchomienie wypożyczalni rowerów elektrycznych jako sposób na dywersyfikację działalności Hotelu Stragona w Strzgomiu (Region 5 - dolnośląskie),DOLNOŚLĄSKIE Strzegom Aleja Wojska Polskiego 47 58-150,"Nazwa: Przedsiębiorstwo Wielobranżowe ""JOLDAR"" JOLANTA PYLAK<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Strzegom<br>Grantobiorca Ulica: Aleja Wojska Polskiego<br>Grantobiorca Nr budynku: 47<br>Grantobiorca Kod pocztowy: 58-150<br>Wartość wsparcia: 230201.55",58-150,Strzegom,47,Aleja Wojska Polskiego,DOLNOŚLĄSKIE,"Przedsiębiorstwo Wielobranżowe ""JOLDAR"" JOLANTA PYLAK",230201.55
"Dywersyfikacja działalności Firmy Handlowo-Usługowej Agata Barańska w branży 56.10.A na obszarze województwa dolnośląskiego przez modernizację wyposażenia kuchni dla nowych usług cateringowych, zakup rowerów i sprzętu do paintballa, implementację ekologicznych rozwiązań jak instalacja fotowoltaiczna z bankiem energii i pieca zagazowującego drewno, oraz rozwój systemu teleinformatycznego z usługami doradczymi dla nowego modelu biznesowego i szkoleniowymi dla wprowadzenia nowych potraw",DOLNOŚLĄSKIE Ostrowina 6J 56-400,Nazwa: FIRMA HANDLOWO-USŁUGOWA AGATA BARAŃSKA<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Ostrowina<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 6J<br>Grantobiorca Kod pocztowy: 56-400<br>Wartość wsparcia: 105528.88,56-400,Ostrowina,6J,,DOLNOŚLĄSKIE,FIRMA HANDLOWO-USŁUGOWA AGATA BARAŃSKA,105528.88
"Dywersyfikacja i ulepszenie działalności firmy DFE Polska Sp. z o.o. zlokalizowanej w Regionie 5 w województwie wielkopolskim, poprzez rozwój działalności w obsłudze targów, wystaw, konferencji i kongresów oraz projekcją filmów.",WIELKOPOLSKIE Suchy Las Ogrodnicza 43 62-002,Nazwa: DFE POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ <br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Suchy Las<br>Grantobiorca Ulica: Ogrodnicza<br>Grantobiorca Nr budynku: 43<br>Grantobiorca Kod pocztowy: 62-002<br>Wartość wsparcia: 525780,62-002,Suchy Las,43,Ogrodnicza,WIELKOPOLSKIE,DFE POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ,525780
Rozszerzenie zakresu działalności firmy WROMAC MACIEJ NIEDZIELSKI (Region 5 - dolnośląskie),DOLNOŚLĄSKIE Wrocław Jemiołowa 25 53-447,Nazwa: WROMAC MACIEJ NIEDZIELSKI <br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Wrocław<br>Grantobiorca Ulica: Jemiołowa<br>Grantobiorca Nr budynku: 25<br>Grantobiorca Kod pocztowy: 53-447<br>Wartość wsparcia: 494103.65,53-447,Wrocław,25,Jemiołowa,DOLNOŚLĄSKIE,WROMAC MACIEJ NIEDZIELSKI ,494103.65
"Rozwój usług turystycznych przez P.H.U. 'Dąbrowski' - wprowadzenie autonomicznego, ekologicznego domu na wodzie z systemem cyfrowej rezerwacji w regionie 5 województwo dolnośląskie. Innowacyjne rozwiązanie dla zrównoważonego turystycznego wykorzystania rzeki Odry.",,"Nazwa: P.H.U. ""DĄBROWSKI"" MICHAŁ DĄBROWSKI<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Kielce<br>Grantobiorca Ulica: Słoneczna<br>Grantobiorca Nr budynku: 15<br>Grantobiorca Kod pocztowy: 26-050<br>Wartość wsparcia: 528560.48",26-050,Kielce,15,Słoneczna,DOLNOŚLĄSKIE,"P.H.U. ""DĄBROWSKI"" MICHAŁ DĄBROWSKI",528560.48
"Zakup środków trwałych, usług doradczych i szkoleniowych przez Fundację Olandia w celu wzmocnienia pozycji, innowacyjności i konkurencyjności.",WIELKOPOLSKIE Prusim 5 64-420,Nazwa: Fundacja Olandia<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Prusim<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 5<br>Grantobiorca Kod pocztowy: 64-420<br>Wartość wsparcia: 310961.51,64-420,Prusim,5,,WIELKOPOLSKIE,Fundacja Olandia,310961.51
Dywersyfikacja działalności spółki FMK Sp. j. Konieczny (Region 5) poprzez wprowadzenie usługi wynajmu rowerów elektrycznych,WIELKOPOLSKIE Puszczykowo Stefana Czarnieckiego 56 62-040,"Nazwa: FMK ""SPÓŁKA JAWNA"" KONIECZNY<br>Miejsce Realizacji Województwo: WIELKOPOLSKIE<br>Grantobiorca Miejscowość: Puszczykowo<br>Grantobiorca Ulica: Stefana Czarnieckiego<br>Grantobiorca Nr budynku: 56<br>Grantobiorca Kod pocztowy: 62-040<br>Wartość wsparcia: 399926.08",62-040,Puszczykowo,56,Stefana Czarnieckiego,WIELKOPOLSKIE,"FMK ""SPÓŁKA JAWNA"" KONIECZNY",399926.08
"Dywersyfikacja przedsiębiorstwa rancza pod strzechą Ewy Zegar polegająca na wprowadzeniu nowych usług takich jak: Aqua aerobik, aqua fitness, organizowanie urodzin dla najmłodszych, pikniki rodzinne, spotkania firmowe, wieczory tematyczne, weekendy wellness, warsztaty degustacyjne oraz sesje zdjęciowe.",DOLNOŚLĄSKIE Żarska Wieś 2 59-900,"Nazwa: BAR TRUCKERA"" EWA ZEGAR; RANCZO POD STRZECHĄ EWA ZEGAR<br>Miejsce Realizacji Województwo: DOLNOŚLĄSKIE<br>Grantobiorca Miejscowość: Żarska Wieś<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 59-900<br>Wartość wsparcia: 539342.15",59-900,Żarska Wieś,2,,DOLNOŚLĄSKIE,"BAR TRUCKERA"" EWA ZEGAR; RANCZO POD STRZECHĄ EWA ZEGAR",539342.15
